Common Name,Entrez ID,Gene Name,Prediction,Sorted Category
rpsK,947792,30S ribosomal protein S11,,Down Regulated
rpsE,947795,30S ribosomal protein S5,,Down Regulated
rpoA,947794,DNA-directed RNA polymerase subunit alpha,,Down Regulated
rpsM,947791,30S ribosomal protein S13; 30S ribosomal protein,,Down Regulated
metC,946240,Cystathionine beta-lyase metC,,Down Regulated
ybdG,946243,Uncharacterized protein ybdG,[],Down Regulated
pspF,945683,Psp operon transcriptional activator,,Down Regulated
potD,945682,Spermidine/putrescine-binding periplasmic protein,,Down Regulated
fiu,946246,Catecholate siderophore receptor fiu,,Temporarly Up Regulated
cobB,945687,NAD-dependent deacetylase,,Up Regulated
panD,945686,Aspartate 1-decarboxylase,,Down Regulated
nudJ,945689,Phosphatase nudJ,,Down Regulated
ybhL,945401,Inner membrane protein ybhL,,Temporarly Up Regulated
rplQ,947784,50S ribosomal protein L17,,Down Regulated
trkA,947788,Trk system potassium uptake protein trkA,,Up Regulated
yhdN,947785,Uncharacterized protein yhdN,[],Ambiguous/Unsorted
yehQ,946654,ECIAI39_0891; E2348C_2268; APECO1_4427; c2652; ECS88_2265; b2122; Z3295; ECED1_2478; ECUMN_2456; UTI89_C2394; ECDH10B_2277; ECIAI1_2198,,Up Regulated
spy,946253,Spheroplast protein Y,,Up Regulated
ycfP,945676,UPF0227 protein ycfP,,Temporarly Up Regulated
astB,946259,N-succinylarginine dihydrolase,,Ambiguous/Unsorted
lptE,946257,LPS-assembly lipoprotein lptE,,Down Regulated
lolC,945673,Lipoprotein-releasing system transmembrane protein lolC,,Down Regulated
flgB,945678,Flagellar basal-body rod protein flgB,,Down Regulated
parE,947501,DNA topoisomerase 4 subunit B,,Down Regulated
ybiX,947502,PKHD-type hydroxylase ybiX,,Ambiguous/Unsorted
yrdB,947774,Uncharacterized protein yrdB,"[' Building block biosynthesis', 'purine nucleotide biosynthetic process', 'aromatic amino acid family biosynthetic process']",Temporarly Down Regulated
yrdA,947775,Protein yrdA,,Down Regulated
fmt,947779,Methionyl-tRNA formyltransferase,,Ambiguous/Unsorted
nlpC,946220,Probable lipoprotein nlpC,,Up Regulated
holB,945661,DNA polymerase III subunit delta',,Down Regulated
thrS,946222,Threonyl-tRNA synthetase,,Down Regulated
mrp,946627,Protein mrp,,Ambiguous/Unsorted
pntA,946628,NAD(P) transhydrogenase subunit alpha,,Down Regulated
ycfS,945666,Uncharacterized protein ycfS,[],Down Regulated
aroH,946229,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",,Down Regulated
infC,946225,Translation initiation factor IF-3,,Down Regulated
accC,947761,Biotin carboxylase,,Down Regulated
aaeR,947760,HTH-type transcriptional activator aaeR,,Up Regulated
yhdV,947767,Uncharacterized protein yhdV,"[' Electrochemical potential driven transporters', ' Protection', 'cell cycle', 'cell division']",Up Regulated
acrF,947768,Acriflavine resistance protein F,,Up Regulated
yagV,946631,Uncharacterized protein yagV,[],Up Regulated
yegU,946630,Uncharacterized protein yegU,[],Down Regulated
yhdY,947764,Inner membrane amino-acid ABC transporter permease protein yhdY,,Down Regulated
yceD,945650,Uncharacterized protein yceD,[],Down Regulated
ydiZ,946232,Uncharacterized protein ydiZ,"[' Carbon compound utilization', ' Energy metabolism  carbon ', 'translation']",Temporarly Up Regulated
yfaA,946618,Uncharacterized protein yfaA,"['Replication  recombination and repair', ' RNA related', ' Type of regulation']",Ambiguous/Unsorted
rpmF,945657,50S ribosomal protein L32,,Down Regulated
ycfH,945656,Uncharacterized deoxyribonuclease ycfH,[],Temporarly Up Regulated
ydjN,946238,Uncharacterized symporter ydjN,[],Down Regulated
yhcH,947750,Uncharacterized protein yhcH,"['Carbohydrate transport and metabolism', 'carbohydrate metabolic process']",Up Regulated
flgK,945648,Flagellar hook-associated protein 1,,Down Regulated
fhuE,945649,FhuE receptor,,Ambiguous/Unsorted
yegS,946626,Probable lipid kinase yegS; Lipid kinase yegS,,Up Regulated
mreD,947756,Rod shape-determining protein mreD,,Temporarly Down Regulated
nanK,947757,N-acetylmannosamine kinase,,Temporarly Up Regulated
tolA,946625,Protein tolA,,Down Regulated
accB,947758,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,,Down Regulated
hpt,946624,Hypoxanthine phosphoribosyltransferase,,Down Regulated
ccmH,946623,Cytochrome c-type biogenesis protein ccmH,,Down Regulated
cyaA,947755,Adenylate cyclase,,Temporarly Down Regulated
nanE,947745,Putative N-acetylmannosamine-6-phosphate 2-epimerase,,Up Regulated
aaeA,947748,p-hydroxybenzoic acid efflux pump subunit aaeA,,Up Regulated
aaeB,947747,p-hydroxybenzoic acid efflux pump subunit aaeB,,Up Regulated
glgS,947533,Glycogen synthesis protein glgS,,Up Regulated
hybC,945182,Hydrogenase-2 large chain,,Up Regulated
flgI,947534,Flagellar P-ring protein,,Down Regulated
yejL,946694,UPF0352 protein yejL,,Ambiguous/Unsorted
yqiK,947537,Inner membrane protein yqiK,,Up Regulated
rtn,946695,Protein rtn,,Temporarly Down Regulated
nanT,947740,Putative sialic acid transporter; Putative sialic acid transporter 1,,Up Regulated
lpxT,946693,Inner membrane protein yeiU,,Down Regulated
fepB,947538,Ferrienterobactin-binding periplasmic protein,,Ambiguous/Unsorted
yeeN,946493,UPF0082 protein yeeN,,Temporarly Down Regulated
guaA,947334,GMP synthase [glutamine-hydrolyzing],,Down Regulated
rhtC,948317,Threonine efflux protein,,Down Regulated
sulA,947335,Cell division inhibitor sulA,,Up Regulated
tatB,948319,Sec-independent protein translocase protein tatB homolog; Sec-independent protein translocase protein tatB,,Down Regulated
dapE,948313,Succinyl-diaminopimelate desuccinylase,,Ambiguous/Unsorted
pldB,948314,Lysophospholipase L2,,Temporarly Down Regulated
shiA,946495,Shikimate transporter,,Down Regulated
RhtB,948316,Homoserine/homoserine lactone efflux protein,,Down Regulated
yhcG,947739,Uncharacterized protein yhcG,[' Macromolecule degradation'],Down Regulated
glgB,947940,"1,4-alpha-glucan-branching enzyme",,Down Regulated
metR,948310,HTH-type transcriptional regulator metR,,Up Regulated
hemY,948311,Protein hemY,,Down Regulated
glgX,947941,Glycogen debranching enzyme,,Up Regulated
yeeJ,946498,Uncharacterized protein yeeJ,,Up Regulated
ushA,947331,Protein ushA,,Down Regulated
yejM,946685,Inner membrane protein yejM,,Down Regulated
aroB,947927,3-dehydroquinate synthase,,Down Regulated
flgC,946687,Flagellar basal-body rod protein flgC,,Down Regulated
nuoM,947731,NADH-quinone oxidoreductase subunit M,,Down Regulated
yrbG,947730,Inner membrane protein yrbG,,Ambiguous/Unsorted
yejF,946689,Uncharacterized ABC transporter ATP-binding protein yejF,,Down Regulated
pgpA,947542,Phosphatidylglycerophosphatase A,,Up Regulated
ahpF,947540,Alkyl hydroperoxide reductase subunit F,,Down Regulated
kdsD,947734,Arabinose 5-phosphate isomerase,,Down Regulated
rtcB,947929,Protein rtcB,,Temporarly Up Regulated
yggG,945173,Uncharacterized metalloprotease yggG,[],Up Regulated
osmF,946681,Putative osmoprotectant uptake system substrate-binding protein osmF,,Temporarly Up Regulated
bglX,946682,Periplasmic beta-glucosidase,,Temporarly Down Regulated
rfaE,947548,Bifunctional protein hldE,,Down Regulated
flgM,946684,Negative regulator of flagellin synthesis,,Down Regulated
yodA,946480,Metal-binding protein yodA,,Up Regulated
zinT,946480,Metal-binding protein yodA,,Up Regulated
ygeA,947348,Uncharacterized protein ygeA,[],Up Regulated
hchA,946481,Chaperone protein hchA,,Ambiguous/Unsorted
pldA,948307,Phospholipase A1,,Down Regulated
yedW,946486,Probable transcriptional regulatory protein yedW,,Temporarly Down Regulated
damX,947930,Protein damX,,Down Regulated
rffG,948300,"dTDP-glucose 4,6-dehydratase",,Down Regulated
glgP,947931,Phosphorylase; Glycogen phosphorylase,,Down Regulated
rffM,948301,Probable UDP-N-acetyl-D-mannosaminuronic acid transferase,,Down Regulated
yhbJ,947727,UPF0042 protein yhbJ,,Down Regulated
glpE,947935,Thiosulfate sulfurtransferase glpE,,Temporarly Down Regulated
glgA,947932,Glycogen synthase,,Temporarly Up Regulated
gltB,947724,Glutamate synthase [NADPH] large chain,,Down Regulated
gltD,947723,Glutamate synthase [NADPH] small chain,,Down Regulated
speE,947726,Spermidine synthase,,Down Regulated
ampE,946678,Protein ampE,,Ambiguous/Unsorted
lptB,947725,Lipopolysaccharide export system ATP-binding protein lptB,,Down Regulated
fruK,946676,1-phosphofructokinase,,Temporarly Up Regulated
secG,947720,Protein-export membrane protein secG,,Down Regulated
npr,947914,Phosphocarrier protein NPr,,Ambiguous/Unsorted
yeiP,946674,Elongation factor P-like protein,,Down Regulated
lptC,947722,Lipopolysaccharide export system protein lptC,,Down Regulated
bioH,947916,Carboxylesterase bioH,,Down Regulated
fruA,946672,PTS system fructose-specific EIIBC component,,Temporarly Up Regulated
aes,947514,Acetyl esterase,,Up Regulated
araA,947511,L-arabinose isomerase,,Up Regulated
lplT,947317,Lysophospholipid transporter lplT,,Temporarly Up Regulated
kduI,947319,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,,Down Regulated
yafC,947507,Uncharacterized HTH-type transcriptional regulator yafC,"['Transcription', ' RNA related', ' Type of regulation', 'transcription', 'regulation of transcription  DNA dependent']",Up Regulated
rsxE,947509,Electron transport complex protein rnfE,,Down Regulated
galR,947314,HTH-type transcriptional regulator galR,,Temporarly Down Regulated
malP,947922,Phosphorylase; Maltodextrin phosphorylase,,Down Regulated
malQ,947923,4-alpha-glucanotransferase,,Down Regulated
gntT,947924,High-affinity gluconate transporter,,Down Regulated
kdsC,947717,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase,,Ambiguous/Unsorted
hpf,947718,Probable sigma(54) modulation protein,,Down Regulated
pspB,945893,Phage shock protein B,,Up Regulated
speD,947719,S-adenosylmethionine decarboxylase proenzyme,,Down Regulated
lptA,947920,Lipopolysaccharide export system protein lptA,,Down Regulated
speB,947715,Agmatinase,,Down Regulated
yeiH,946668,UPF0324 inner membrane protein yeiH; Probable endonuclease 4,,Up Regulated
ybjQ,945493,UPF0145 protein ybjQ,,Up Regulated
rpoN,947714,RNA polymerase sigma-54 factor,,Down Regulated
nfo,946669,Endonuclease 4; Probable endonuclease 4,,Down Regulated
yrbD,947712,Uncharacterized protein yrbD,['Amino acid transport and metabolism'],Down Regulated
mlaD,947712,Uncharacterized protein yrbD,,Down Regulated
ybjS,945495,Uncharacterized protein ybjS,[],Ambiguous/Unsorted
aat,945490,Leucyl/phenylalanyl-tRNA--protein transferase,,Down Regulated
nudE,947906,ADP compounds hydrolase nudE,,Down Regulated
mlaC,947710,Protein yrbC,,Down Regulated
yrbC,947710,Protein yrbC,,Down Regulated
yohD,946661,Inner membrane protein yohD,,Ambiguous/Unsorted
thrC,945198,Threonine synthase,,Down Regulated
pbpG,946662,D-alanyl-D-alanine endopeptidase,,Ambiguous/Unsorted
ybjD,945498,Uncharacterized protein ybjD,['SOS response'],Temporarly Up Regulated
entD,945194,4'-phosphopantetheinyl transferase entD,,Temporarly Up Regulated
rpmA,945190,50S ribosomal protein L27,,Down Regulated
cusA,945191,Cation efflux system protein cusA,,Down Regulated
phoP,945697,Transcriptional regulatory protein phoP,,Ambiguous/Unsorted
yiaC,946460,Uncharacterized N-acetyltransferase yiaC,['amino acid biosynthetic process'],Temporarly Down Regulated
nudF,947519,ADP-ribose pyrophosphatase,,Down Regulated
hslR,947912,Heat shock protein 15,,Ambiguous/Unsorted
potC,945691,Spermidine/putrescine transport system permease protein potC,,Down Regulated
ymdC,947321,Uncharacterized protein ymdC,[],Down Regulated
ompR,947913,Transcriptional regulatory protein ompR,,Temporarly Up Regulated
hflD,945693,ECIAI1_1170; ECS88_1147; ECDH10B_1204; b1132; ECIAI39_2005; ECED1_1276; E2348C_1273; ECUMN_1376; EC55989_1245,,Temporarly Down Regulated
dusB,947707,tRNA-dihydrouridine synthase B,,Down Regulated
prmA,947708,Ribosomal protein L11 methyltransferase,,Down Regulated
artP,945489,Arginine transport ATP-binding protein artP,,Ambiguous/Unsorted
ygjD,947578,Probable O-sialoglycoprotein endopeptidase,,Ambiguous/Unsorted
murJ,945487,Virulence factor mviN homolog,,Down Regulated
potF,945480,Putrescine-binding periplasmic protein,,Temporarly Up Regulated
ybjC,945481,Uncharacterized protein ybjC,"['Energy production and conversion', 'Translation  ribosomal structure and biogenesis', ' Energy metabolism  carbon ', ' Building block biosynthesis', 'electron transport', 'translation']",Ambiguous/Unsorted
dnaG,947570,DNA primase,,Up Regulated
gmr,945868,Protein gmr,,Down Regulated
rimK,945484,Ribosomal protein S6 modification protein,,Down Regulated
holA,947573,DNA polymerase III subunit delta,,Down Regulated
potI,945485,Putrescine transport system permease protein potI,,Temporarly Up Regulated
csrD,947702,Uncharacterized protein yhdA,,Temporarly Down Regulated
murA,947703,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,,Down Regulated
btuF,947574,Vitamin B12-binding protein,,Down Regulated
srlA,947575,Glucitol/sorbitol permease IIC component,,Temporarly Up Regulated
yhhQ,947984,Inner membrane protein yhhQ,,Ambiguous/Unsorted
ymjA,945874,Uncharacterized protein ymjA,"['Amino acid transport and metabolism', ' Electrochemical potential driven transporters']",Ambiguous/Unsorted
ribE,946453,"6,7-dimethyl-8-ribityllumazine synthase",,Down Regulated
yhhS,947982,UPF0226 protein yhhS,,Temporarly Down Regulated
potG,945476,Putrescine transport ATP-binding protein potG,,Temporarly Up Regulated
tyrR,945879,Transcriptional regulatory protein tyrR,,Up Regulated
ftsX,947969,Cell division protein ftsX,,Down Regulated
ybjI,945470,Phosphatase ybjI,,Up Regulated
ybjJ,945471,Inner membrane protein ybjJ,,Temporarly Down Regulated
ihfA,945472,Integration host factor subunit alpha,,Down Regulated
ybjK,945473,Uncharacterized HTH-type transcriptional regulator ybjK,"['translation', 'ion transport']",Up Regulated
puuD,945882,Gamma-glutamyl-gamma-aminobutyrate hydrolase,,Down Regulated
yhhN,947973,Uncharacterized membrane protein yhhN,[' Energy metabolism  carbon '],Ambiguous/Unsorted
ybaV,945884,Uncharacterized protein ybaV,[],Up Regulated
pspA,945887,Phage shock protein A,,Up Regulated
puuR,945886,HTH-type transcriptional regulator puuR,,Ambiguous/Unsorted
ygdR,947304,Uncharacterized lipoprotein ygdR,"['Amino acid transport and metabolism', ' Building block biosynthesis', 'amino acid metabolic process']",Temporarly Up Regulated
hemD,948587,Uroporphyrinogen-III synthase,,Down Regulated
livJ,947971,Leu/Ile/Val-binding protein,,Down Regulated
rpoH,947970,RNA polymerase sigma-32 factor; RNA polymerase sigma factor,,Up Regulated
ascG,947305,HTH-type transcriptional regulator ascG,,Temporarly Down Regulated
ygiF,947554,Uncharacterized protein ygiF,['Amino acid transport and metabolism'],Temporarly Down Regulated
yliI,945467,Soluble aldose sugar dehydrogenase yliI,,Up Regulated
ygiM,947555,Uncharacterized protein ygiM,,Down Regulated
rimO,945465,Ribosomal protein S12 methylthiotransferase rimO,,Down Regulated
yliF,945463,Uncharacterized membrane protein yliF,"['Signal transduction mechanisms', ' Type of regulation', 'two component signal transduction system  phosphorelay ', 'transcription', 'regulation of transcription  DNA dependent']",Up Regulated
bacA,947551,Undecaprenyl-diphosphatase,,Down Regulated
gsiC,945460,Glutathione transport system permease protein gsiC,,Ambiguous/Unsorted
gsiD,945461,Glutathione transport system permease protein gsiD,,Down Regulated
ribC,945848,Riboflavin synthase alpha chain,,Ambiguous/Unsorted
yrbA,947958,Uncharacterized protein yrbA,"['Amino acid transport and metabolism', ' Building block biosynthesis', 'amino acid biosynthetic process']",Down Regulated
trpE,945846,Anthranilate synthase component 1,,Down Regulated
livM,947966,High-affinity branched-chain amino acid transport system permease protein livM,,Temporarly Up Regulated
ampG,946438,Protein ampG,,Down Regulated
yjcE,948577,Uncharacterized Na(+)/H(+) exchanger yjcE,['rRNA processing'],Down Regulated
livH,947965,High-affinity branched-chain amino acid transport system permease protein livH,,Temporarly Up Regulated
ydgD,946436,Uncharacterized serine protease ydgD,['response to stress'],Up Regulated
livG,947967,High-affinity branched-chain amino acid transport ATP-binding protein livG,,Temporarly Up Regulated
livF,947961,High-affinity branched-chain amino acid transport ATP-binding protein livF,,Down Regulated
yhhK,947963,Uncharacterized protein yhhK,"[' Carbon compound utilization', ' Metabolism of other compounds']",Down Regulated
ybeY,946430,Putative metalloprotease ybeY,,Temporarly Up Regulated
ghra,946431,Glyoxylate/hydroxypyruvate reductase A,,Down Regulated
yjcH,948574,Inner membrane protein yjcH,,Ambiguous/Unsorted
gsiA,945457,Glutathione import ATP-binding protein gsiA,,Down Regulated
gsiB,945459,Glutathione-binding protein gsiB,,Down Regulated
rpoD,947567,RNA polymerase sigma factor rpoD; RNA polymerase sigma factor,,Temporarly Down Regulated
moeA,945454,Molybdopterin biosynthesis protein moeA,,Down Regulated
dacC,945455,D-alanyl-D-alanine carboxypeptidase dacC,,Temporarly Up Regulated
iaaA,945456,Isoaspartyl peptidase,,Down Regulated
folC,945451,Bifunctional protein folC,,Down Regulated
moeB,945452,Molybdopterin biosynthesis protein moeB,,Ambiguous/Unsorted
mug,947560,G/U mismatch-specific DNA glycosylase,,Ambiguous/Unsorted
ggt,947947,Gamma-glutamyltranspeptidase,,Up Regulated
yciW,945859,Uncharacterized protein yciW,['Lipid transport and metabolism'],Down Regulated
proB,946425,Glutamate 5-kinase,,Ambiguous/Unsorted
yjcB,948569,Uncharacterized protein yjcB,[],Down Regulated
rnb,945864,Exoribonuclease 2,,Down Regulated
soxR,948566,Redox-sensitive transcriptional activator soxR,,Up Regulated
fecA,946427,Fe(3+) dicitrate transport protein fecA,,Down Regulated
soxS,948567,Regulatory protein soxS,,Temporarly Up Regulated
yrbB,947954,Uncharacterized protein yrbB,"['Cell wall membrane envelope biogenesis', ' Macromolecules  cellular constituent   biosynthesis', 'cell cycle', 'cell division']",Down Regulated
mlaB,947954,Uncharacterized protein yrbB,,Down Regulated
ugpC,947953,sn-glycerol-3-phosphate import ATP-binding protein ugpC,,Temporarly Up Regulated
ydfI,945861,Uncharacterized oxidoreductase ydfI,[' Carbon compound utilization'],Temporarly Down Regulated
yciN,945860,Protein yciN,,Temporarly Up Regulated
pgpB,945863,Phosphatidylglycerophosphatase B,,Down Regulated
topA,945862,DNA topoisomerase 1,,Down Regulated
uvrY,946424,Response regulator uvrY,,Ambiguous/Unsorted
yjbR,948560,Uncharacterized protein yjbR,"['Amino acid transport and metabolism', ' Central intermediary metabolism', 'amino acid biosynthetic process', 'biosynthetic process', 'aromatic amino acid family biosynthetic process']",Temporarly Down Regulated
alr,948564,"Alanine racemase, biosynthetic; Alanine racemase",,Down Regulated
yjcD,948565,Putative permease yjcD,,Temporarly Up Regulated
dapF,948364,Diaminopimelate epimerase,,Down Regulated
ydgC,945156,Inner membrane protein ydgC,,Temporarly Down Regulated
ydgJ,947164,Uncharacterized oxidoreductase ydgJ,[],Temporarly Down Regulated
glnL,948360,Nitrogen regulation protein NR(II); Sensor protein,,Down Regulated
glnG,948361,Nitrogen regulation protein NR(I),,Down Regulated
hemN,948362,Oxygen-independent coproporphyrinogen-III oxidase,,Down Regulated
feaR,945941,Transcriptional activator feaR,,Ambiguous/Unsorted
emrB,947167,Multidrug resistance protein B,,Ambiguous/Unsorted
yihI,948363,UPF0241 protein yihI,,Up Regulated
luxS,947168,S-ribosylhomocysteine lyase,,Down Regulated
iclR,948524,Acetate operon repressor,,Down Regulated
yihL,948368,Uncharacterized HTH-type transcriptional regulator yihL,"['Amino acid transport and metabolism', ' Carbon compound utilization', ' Central intermediary metabolism', ' Primary Active Transporters', 'metabolic process']",Down Regulated
rfbA,945154,Glucose-1-phosphate thymidylyltransferase; Glucose-1-phosphate thymidylyltransferase 1,,Down Regulated
ubiE,948926,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE,,Down Regulated
typA,948369,GTP-binding protein typA/BipA; GTP-binding protein typA/bipA,,Down Regulated
prfB,947369,Peptide chain release factor 2,,Down Regulated
yccJ,948930,Uncharacterized protein yccJ,[' Macromolecules  cellular constituent   biosynthesis'],Temporarly Up Regulated
malY,945937,Protein malY,,Temporarly Up Regulated
ybgS,945356,Uncharacterized protein ybgS,"['Inorganic ion transport and metabolism', ' Electrochemical potential driven transporters', 'ion transport']",Temporarly Up Regulated
Cyca,948725,D-serine/D-alanine/glycine transporter,,Down Regulated
fklB,948726,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase,,Down Regulated
ybiO,945935,Uncharacterized mscS family protein ybiO,[],Temporarly Up Regulated
ytfB,948727,Uncharacterized protein ytfB,"['Replication  recombination and repair', 'DNA recombination', 'DNA integration']",Ambiguous/Unsorted
galE,945354,UDP-glucose 4-epimerase,,Ambiguous/Unsorted
rpsR,948721,30S ribosomal protein S18,,Down Regulated
priB,948722,Primosomal replication protein n,,Down Regulated
fdx,947160,2Fe-2S ferredoxin,,Temporarly Down Regulated
mngB,945359,Alpha-mannosidase mngB,,Up Regulated
rpsF,948723,30S ribosomal protein S6,,Down Regulated
ygfA,945167,Uncharacterized protein ygfA,"['cell cycle', 'cell division']",Up Regulated
dtd,948378,D-tyrosyl-tRNA(Tyr) deacylase,,Down Regulated
dbpA,947153,ATP-independent RNA helicase dbpA,,Down Regulated
ycfL,948539,Uncharacterized protein ycfL,"['Nucleotide transport and metabolism', 'Cell wall membrane envelope biogenesis', ' Building block biosynthesis']",Down Regulated
yfgI,945168,Uncharacterized protein yfgI,"['Lipid transport and metabolism', ' Building block biosynthesis']",Temporarly Up Regulated
malE,948538,Maltose-binding periplasmic protein,,Temporarly Up Regulated
malK,948537,Maltose/maltodextrin import ATP-binding protein malK,,Down Regulated
ygaC,947156,Uncharacterized protein ygaC,[],Up Regulated
cpdB,948729,ECs5191; ECP_4467; ECSE_4519; EcSMS35_4692; ECUMN_4750; Z5824; EcolC_3793; ECS88_4807; E2348C_4544; EC55989_4773; ECDH10B_4408; ECED1_5072; ECH74115_5730; ECIAI1_4447; b4213; ECIAI39_4685; UTI89_C4822; EcHS_A4467; APECO1_2173; EcE24377A_4783,,Temporarly Down Regulated
trkG,945932,Trk system potassium uptake protein trkG,,Up Regulated
ascF,947154,"PTS system arbutin-, cellobiose-, and salicin-specific EIIBC component",,Up Regulated
feaB,945933,Phenylacetaldehyde dehydrogenase,,Up Regulated
malF,948532,Maltose transport system permease protein malF,,Down Regulated
lysC,948531,Aspartokinase; Lysine-sensitive aspartokinase 3,,Down Regulated
pqiA,944999,Paraquat-inducible protein A,,Ambiguous/Unsorted
malG,948530,Maltose transport system permease protein malG,,Temporarly Up Regulated
ytjC,948918,Probable phosphoglycerate mutase gpmB,,Temporarly Down Regulated
macB,945164,Macrolide export ATP-binding/permease protein macB,,Temporarly Down Regulated
ybcL,945165,UPF0098 protein ybcL,,Up Regulated
yigP,948915,Uncharacterized protein yigP,['protein secretion'],Down Regulated
yjtD,948924,Uncharacterized tRNA/rRNA methyltransferase lasT,,Ambiguous/Unsorted
ytfH,948730,Uncharacterized HTH-type transcriptional regulator ytfH,[],Up Regulated
yqeA,947358,Carbamate kinase-like protein yqeA,,Temporarly Up Regulated
mocA,947356,Uncharacterized protein ygfJ,,Temporarly Up Regulated
ygfJ,947356,Uncharacterized protein ygfJ,['electron transport'],Temporarly Up Regulated
glnA,948370,Glutamine synthetase,,Down Regulated
ytfJ,948737,Uncharacterized protein ytfJ,"['Energy production and conversion', 'Secondary metabolites biosynthesis  transport and catabolism']",Up Regulated
ytfL,948735,UPF0053 inner membrane protein ytfL,,Temporarly Down Regulated
modF,945368,Putative molybdenum transport ATP-binding protein modF,,Down Regulated
yaiZ,947355,Uncharacterized protein yaiZ,[],Ambiguous/Unsorted
gltK,947354,Glutamate/aspartate transport system permease protein gltK,,Down Regulated
qorB,948731,Uncharacterized oxidoreductase ytfG,,Up Regulated
ygeR,947352,Uncharacterized lipoprotein ygeR,,Ambiguous/Unsorted
ygbA,947187,Uncharacterized protein ygbA,"['Energy production and conversion', ' Primary Active Transporters']",Up Regulated
msrB,947188,Peptide methionine sulfoxide reductase msrB,,Ambiguous/Unsorted
fdoI,948383,"Formate dehydrogenase, cytochrome b556(fdo) subunit",,Down Regulated
malM,948547,Maltose operon periplasmic protein,,Temporarly Up Regulated
allS,945139,HTH-type transcriptional activator allS,,Up Regulated
ydjA,945964,Putative NAD(P)H nitroreductase ydjA,,Down Regulated
yddB,945961,Uncharacterized protein yddB,"['Cell wall membrane envelope biogenesis', 'translation', 'ion transport']",Temporarly Up Regulated
hinT,948549,HIT-like protein hinT,,Down Regulated
ybdJ,947183,Uncharacterized protein ybdJ,"[' Protection', 'ion transport', 'iron ion transport']",Up Regulated
nuoN,945136,NADH-quinone oxidoreductase subunit N,,Down Regulated
MltB,947184,Membrane-bound lytic murein transglycosylase B,,Temporarly Down Regulated
lamB,948548,Maltoporin,,Down Regulated
frvX,948388,Putative frv operon protein frvX,,Ambiguous/Unsorted
yfiL,947106,Uncharacterized protein yfiL,"['Replication  recombination and repair', 'DNA recombination']",Temporarly Up Regulated
norR,947186,Anaerobic nitric oxide reductase transcription regulator norR,,Up Regulated
tus,945135,DNA replication terminus site-binding protein,,Up Regulated
recN,947105,DNA repair protein recN,,Ambiguous/Unsorted
pmrD,945130,Signal transduction protein pmrD,,Ambiguous/Unsorted
ffh,947102,Signal recognition particle protein,,Temporarly Down Regulated
rimM,947101,Ribosome maturation factor rimM,,Down Regulated
dgkA,948543,Diacylglycerol kinase,,Ambiguous/Unsorted
mtn,948542,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,Down Regulated
ylaB,948951,Uncharacterized protein ylaB,"['Signal transduction mechanisms', ' Type of regulation', 'two component signal transduction system  phosphorelay ', 'transcription', 'regulation of transcription  DNA dependent']",Up Regulated
yibA,948108,Protein yibA,,Up Regulated
visC,947389,Protein visC,,Down Regulated
efeU,948956,ECUMN_1201; ECIAI39_2139; ECS88_1033; ECDH10B_1089; EC55989_1127; b4490; ECED1_1172; ECIAI1_1062; E2348C_1067,,Up Regulated
hypE,947182,Hydrogenase isoenzymes formation protein hypE,,Temporarly Up Regulated
ubiH,947388,2-octaprenyl-6-methoxyphenol hydroxylase,,Down Regulated
ybbO,945337,Uncharacterized oxidoreductase ybbO,[],Down Regulated
fhlA,947181,Formate hydrogenlyase transcriptional activator,,Up Regulated
thiL,947387,Thiamine-monophosphate kinase,,Down Regulated
lyxK,948101,L-xylulose/3-keto-L-gulonate kinase,,Ambiguous/Unsorted
sapF,945335,Peptide transport system ATP-binding protein sapF,,Down Regulated
ppa,948748,Inorganic pyrophosphatase,,Down Regulated
allR,945333,HTH-type transcriptional repressor allR,,Up Regulated
ygfZ,947384,tRNA-modifying protein ygfZ,,Temporarly Down Regulated
selB,948103,Selenocysteine-specific elongation factor,,Down Regulated
yihW,948381,Uncharacterized HTH-type transcriptional regulator yihW,"['Transcription', ' RNA related', ' Type of regulation', ' Genetic unit regulated', 'transcription', 'regulation of transcription  DNA dependent']",Temporarly Up Regulated
ydeN,945957,Uncharacterized sulfatase ydeN,"['Signal transduction mechanisms', ' Metabolism of other compounds']",Temporarly Up Regulated
cueR,945332,HTH-type transcriptional regulator cueR,,Up Regulated
aegA,947383,Protein aegA,,Temporarly Up Regulated
fdoH,948395,Formate dehydrogenase-O iron-sulfur subunit,,Down Regulated
dusA,948558,tRNA-dihydrouridine synthase A,,Down Regulated
csrA,947176,Carbon storage regulator,,Up Regulated
qorA,948556,Quinone oxidoreductase,,Temporarly Up Regulated
dnaB,948555,Replicative DNA helicase,,Down Regulated
rhaT,948398,L-rhamnose-proton symporter,,Up Regulated
mppA,945951,Periplasmic murein peptide-binding protein,,Up Regulated
allA,945141,Ureidoglycolate hydrolase,,Up Regulated
